onset	duration	trial_type	rating
0.07	19.45	fixation_cross	n/a
19.53	3	instruction	n/a
22.54	20.05	watch_moving_bars	n/a
42.58	5.03	rating	4
47.61	19.73	fixation_cross	n/a
67.33	3	instruction	n/a
70.33	20.05	control_moving_bars	n/a
90.38	1.47	rating	4
91.84	17.4	fixation_cross	n/a
109.24	3.01	instruction	n/a
112.25	20.03	watch_static_bars	n/a
132.28	1.03	rating	3
133.32	19.75	fixation_cross	n/a
153.06	3	instruction	n/a
156.07	20.05	control_moving_bars	n/a
176.12	1.71	rating	4
177.83	18.9	fixation_cross	n/a
196.72	3.01	instruction	n/a
199.74	20.07	control_moving_bars	n/a
219.8	0.84	rating	2
220.64	17.3	fixation_cross	n/a
237.94	3.01	fixation_cross	n/a
240.95	20.05	watch_moving_bars	n/a
261	1.34	instruction	n/a
262.34	17.84	fixation_cross	n/a
280.17	3.01	fixation_cross	n/a
283.18	20.06	watch_moving_bars	n/a
303.24	3.04	instruction	n/a
306.29	18.64	fixation_cross	n/a
324.93	3.01	fixation_cross	n/a
327.94	20.02	watch_static_bars	n/a
347.96	0.85	instruction	n/a
348.81	19.88	fixation_cross	n/a
368.69	3.01	fixation_cross	n/a
371.7	20.07	watch_moving_bars	n/a
391.76	2.68	instruction	n/a
394.44	19.91	fixation_cross	n/a
414.35	3.01	fixation_cross	n/a
417.36	20.06	control_moving_bars	n/a
437.42	1.22	instruction	n/a
438.64	17.49	fixation_cross	n/a
456.13	3.01	fixation_cross	n/a
459.14	20.03	watch_static_bars	n/a
479.17	2.28	instruction	n/a
481.45	19.91	fixation_cross	n/a
501.37	3.01	fixation_cross	n/a
504.38	20.06	watch_moving_bars	n/a
524.44	2.7	instruction	n/a
527.14	19.87	fixation_cross	n/a
547.01	3.01	fixation_cross	n/a
550.02	20.04	watch_static_bars	n/a
570.06	0.89	instruction	n/a
570.95	18.46	fixation_cross	n/a
589.41	3.01	fixation_cross	n/a
592.42	20.11	control_moving_bars	n/a
612.53	1.17	instruction	n/a
613.7	19.4	fixation_cross	n/a
633.1	3	fixation_cross	n/a
636.1	20.04	watch_static_bars	n/a
656.14	1.61	instruction	n/a
