onset	duration	trial_type	rating
0.04	19.13	fixation_cross	n/a
19.16	3	instruction	n/a
22.17	20.04	watch_static_bars	n/a
42.2	6.84	rating	4
49.04	17.09	fixation_cross	n/a
66.14	3.01	instruction	n/a
69.14	20.06	control_moving_bars	n/a
89.2	5.28	rating	3
94.49	17.82	fixation_cross	n/a
112.31	3.01	instruction	n/a
115.32	20.06	watch_moving_bars	n/a
135.38	7.82	rating	3
143.2	17.14	fixation_cross	n/a
160.33	3	instruction	n/a
163.34	20.07	control_moving_bars	n/a
183.4	2.92	rating	2
186.32	17.3	fixation_cross	n/a
203.62	3.01	instruction	n/a
206.63	20.04	watch_static_bars	n/a
226.66	3.91	rating	4
230.57	19.48	fixation_cross	n/a
250.06	3.01	fixation_cross	n/a
253.07	20.06	control_moving_bars	n/a
273.13	12.91	instruction	n/a
286.04	19.08	fixation_cross	n/a
305.12	3.01	fixation_cross	n/a
308.14	20.05	watch_moving_bars	n/a
328.18	4.07	instruction	n/a
332.26	17.95	fixation_cross	n/a
350.21	3.01	fixation_cross	n/a
353.22	20.07	watch_moving_bars	n/a
373.29	2.56	instruction	n/a
375.84	19.86	fixation_cross	n/a
395.71	3	fixation_cross	n/a
398.71	20.03	watch_static_bars	n/a
418.74	2.12	instruction	n/a
420.86	17.1	fixation_cross	n/a
437.96	3.01	fixation_cross	n/a
440.97	20.04	watch_static_bars	n/a
461.01	2.62	instruction	n/a
463.63	18.33	fixation_cross	n/a
481.96	3.01	fixation_cross	n/a
484.97	20.05	control_moving_bars	n/a
505.02	4.42	instruction	n/a
509.44	18.15	fixation_cross	n/a
527.59	3.01	fixation_cross	n/a
530.6	20.06	watch_moving_bars	n/a
550.66	4.36	instruction	n/a
555.01	19.3	fixation_cross	n/a
574.31	3.01	fixation_cross	n/a
577.32	20.06	control_moving_bars	n/a
597.38	8.55	instruction	n/a
605.93	19.4	fixation_cross	n/a
625.33	3	fixation_cross	n/a
628.33	20.03	watch_static_bars	n/a
648.36	3.43	instruction	n/a
651.8	17.56	fixation_cross	n/a
669.36	3.01	fixation_cross	n/a
672.37	20.06	watch_moving_bars	n/a
692.43	3.95	instruction	n/a
