onset	duration	trial_type	rating
0.04	18.46	fixation_cross	n/a
18.5	3.02	instruction	n/a
21.52	20.06	control_moving_bars	n/a
41.58	4.03	rating	2
45.61	18.34	fixation_cross	n/a
63.95	3	instruction	n/a
66.96	20.05	watch_moving_bars	n/a
87	4.45	rating	3
91.46	18.95	fixation_cross	n/a
110.41	3.01	instruction	n/a
113.42	20.04	watch_static_bars	n/a
133.46	2.67	rating	3
136.14	19.14	fixation_cross	n/a
155.28	3.01	instruction	n/a
158.28	20.06	control_moving_bars	n/a
178.34	2.49	rating	3
180.83	19.26	fixation_cross	n/a
200.09	3.01	instruction	n/a
203.1	20.06	watch_moving_bars	n/a
223.16	5.72	rating	4
228.88	17.84	fixation_cross	n/a
246.72	3.01	fixation_cross	n/a
249.73	20.05	control_moving_bars	n/a
269.78	4.96	instruction	n/a
274.73	19.04	fixation_cross	n/a
293.77	3.01	fixation_cross	n/a
296.78	20.03	watch_static_bars	n/a
316.81	3.37	instruction	n/a
320.18	18.96	fixation_cross	n/a
339.15	3.01	fixation_cross	n/a
342.16	20.05	watch_moving_bars	n/a
362.21	3.17	instruction	n/a
365.38	17.48	fixation_cross	n/a
382.86	3.01	fixation_cross	n/a
385.88	20.05	watch_moving_bars	n/a
405.92	2.86	instruction	n/a
408.78	17.36	fixation_cross	n/a
426.14	3.01	fixation_cross	n/a
429.15	20.05	watch_static_bars	n/a
449.2	2.12	instruction	n/a
451.32	18.49	fixation_cross	n/a
469.82	3.02	fixation_cross	n/a
472.83	20.06	watch_moving_bars	n/a
492.89	3.85	instruction	n/a
496.75	19.89	fixation_cross	n/a
516.64	3.01	fixation_cross	n/a
519.65	20.06	control_moving_bars	n/a
539.71	5.07	instruction	n/a
544.78	18.04	fixation_cross	n/a
562.81	3.01	fixation_cross	n/a
565.82	20.02	watch_static_bars	n/a
585.84	2	instruction	n/a
587.84	18.77	fixation_cross	n/a
606.62	3.01	fixation_cross	n/a
609.63	20.03	watch_static_bars	n/a
629.66	6.92	instruction	n/a
636.58	17.68	fixation_cross	n/a
654.26	3.01	fixation_cross	n/a
657.27	20.11	control_moving_bars	n/a
677.38	3.6	instruction	n/a
