onset	duration	trial_type	rating
0.04	19.12	fixation_cross	n/a
19.16	3	instruction	n/a
22.16	20.07	control_moving_bars	n/a
42.23	3.86	rating	4
46.08	17.09	fixation_cross	n/a
63.18	3.01	instruction	n/a
66.19	20.05	watch_moving_bars	n/a
86.24	1.62	rating	3
87.86	17.82	fixation_cross	n/a
105.67	3.01	instruction	n/a
108.68	20.05	watch_moving_bars	n/a
128.74	1.84	rating	2
130.57	17.14	fixation_cross	n/a
147.72	3.01	instruction	n/a
150.73	20.06	control_moving_bars	n/a
170.79	2.53	rating	4
173.32	17.3	fixation_cross	n/a
190.62	3.01	instruction	n/a
193.63	20.03	watch_static_bars	n/a
213.66	1.85	rating	3
215.51	19.48	fixation_cross	n/a
234.99	3.01	fixation_cross	n/a
238	20.06	control_moving_bars	n/a
258.06	3.12	instruction	n/a
261.18	19.09	fixation_cross	n/a
280.27	3.01	fixation_cross	n/a
283.28	20.03	watch_static_bars	n/a
303.31	2.98	instruction	n/a
306.29	17.94	fixation_cross	n/a
324.23	3.01	fixation_cross	n/a
327.24	20.07	watch_moving_bars	n/a
347.3	3.82	instruction	n/a
351.12	19.86	fixation_cross	n/a
370.98	3	fixation_cross	n/a
373.98	20.06	watch_moving_bars	n/a
394.04	4.46	instruction	n/a
398.5	17.11	fixation_cross	n/a
415.62	3.01	fixation_cross	n/a
418.63	20.06	control_moving_bars	n/a
438.69	2.21	instruction	n/a
440.9	18.32	fixation_cross	n/a
459.22	3.01	fixation_cross	n/a
462.23	20.05	watch_moving_bars	n/a
482.28	2.97	instruction	n/a
485.25	18.16	fixation_cross	n/a
503.42	3.01	fixation_cross	n/a
506.43	20.03	watch_static_bars	n/a
526.46	3.5	instruction	n/a
529.95	19.3	fixation_cross	n/a
549.25	3.01	fixation_cross	n/a
552.26	20.03	watch_static_bars	n/a
572.29	2.36	instruction	n/a
574.65	19.39	fixation_cross	n/a
594.04	3	fixation_cross	n/a
597.05	20.06	control_moving_bars	n/a
617.11	2.19	instruction	n/a
619.29	17.56	fixation_cross	n/a
636.86	3.01	fixation_cross	n/a
639.87	20.05	watch_static_bars	n/a
659.92	3.99	instruction	n/a
