onset	duration	trial_type	rating
0.24	19.45	fixation_cross	n/a
19.7	3	instruction	n/a
22.7	20.07	control_moving_bars	n/a
42.76	3.2	rating	4
45.98	19.72	fixation_cross	n/a
65.69	3.01	instruction	n/a
68.7	20.05	watch_moving_bars	n/a
88.75	2.36	rating	3
91.11	17.39	fixation_cross	n/a
108.5	3.01	instruction	n/a
111.51	20.07	watch_moving_bars	n/a
131.57	2.31	rating	3
133.88	19.75	fixation_cross	n/a
153.64	3.01	instruction	n/a
156.65	20.06	control_moving_bars	n/a
176.71	1.45	rating	3
178.16	18.91	fixation_cross	n/a
197.06	3.01	instruction	n/a
200.07	20.03	watch_static_bars	n/a
220.1	3.18	rating	3
223.29	17.3	fixation_cross	n/a
240.59	3.01	fixation_cross	n/a
243.6	20.06	control_moving_bars	n/a
263.66	3.49	instruction	n/a
267.15	17.84	fixation_cross	n/a
284.98	3.01	fixation_cross	n/a
288	20.05	watch_static_bars	n/a
308.04	2.82	instruction	n/a
310.86	18.66	fixation_cross	n/a
329.52	3	fixation_cross	n/a
332.52	20.06	watch_moving_bars	n/a
352.58	2.69	instruction	n/a
355.27	19.88	fixation_cross	n/a
375.15	3	fixation_cross	n/a
378.15	20.05	watch_moving_bars	n/a
398.2	2.54	instruction	n/a
400.74	19.9	fixation_cross	n/a
420.63	3.01	fixation_cross	n/a
423.64	20.06	control_moving_bars	n/a
443.7	2.16	instruction	n/a
445.87	17.48	fixation_cross	n/a
463.34	3.01	fixation_cross	n/a
466.35	20.05	watch_moving_bars	n/a
486.4	3.35	instruction	n/a
489.76	19.91	fixation_cross	n/a
509.68	3.01	fixation_cross	n/a
512.69	20.03	watch_static_bars	n/a
532.72	1.62	instruction	n/a
534.34	19.88	fixation_cross	n/a
554.21	3.01	fixation_cross	n/a
557.22	20.04	watch_static_bars	n/a
577.26	1.27	instruction	n/a
578.54	18.46	fixation_cross	n/a
597	3.01	fixation_cross	n/a
600.02	20.06	control_moving_bars	n/a
620.08	3.87	instruction	n/a
623.94	19.4	fixation_cross	n/a
643.34	3	fixation_cross	n/a
646.35	20.03	watch_static_bars	n/a
666.38	2.63	instruction	n/a
