onset	duration	trial_type	rating
0.03	17.43	fixation_cross	n/a
17.46	3	instruction	n/a
20.46	20.05	watch_moving_bars	n/a
40.51	2.91	rating	2
43.42	18.26	fixation_cross	n/a
61.68	3.01	instruction	n/a
64.69	20.05	control_moving_bars	n/a
84.74	2.45	rating	3
87.18	19.75	fixation_cross	n/a
106.94	3.01	instruction	n/a
109.94	20.03	watch_static_bars	n/a
129.98	2.55	rating	3
132.52	19.39	fixation_cross	n/a
151.91	3.01	instruction	n/a
154.92	20.07	control_moving_bars	n/a
174.99	1.81	rating	3
176.8	19.89	fixation_cross	n/a
196.68	3.01	instruction	n/a
199.7	20.06	control_moving_bars	n/a
219.76	1.74	rating	2
221.5	18.95	fixation_cross	n/a
240.46	3.01	fixation_cross	n/a
243.47	20.1	watch_moving_bars	n/a
263.58	2.01	instruction	n/a
265.59	17.11	fixation_cross	n/a
282.7	3.01	fixation_cross	n/a
285.71	20.1	watch_moving_bars	n/a
305.82	1.78	instruction	n/a
307.6	19.56	fixation_cross	n/a
327.16	3.01	fixation_cross	n/a
330.18	20.04	watch_static_bars	n/a
350.21	2.77	instruction	n/a
352.98	19.82	fixation_cross	n/a
372.8	3.01	fixation_cross	n/a
375.8	20.06	watch_moving_bars	n/a
395.86	1.87	instruction	n/a
397.74	19.05	fixation_cross	n/a
416.79	3.01	fixation_cross	n/a
419.8	20.06	control_moving_bars	n/a
439.86	1.88	instruction	n/a
441.74	19.27	fixation_cross	n/a
461.01	3.01	fixation_cross	n/a
464.02	20.04	watch_static_bars	n/a
484.06	1.75	instruction	n/a
485.8	19.24	fixation_cross	n/a
505.04	3.01	fixation_cross	n/a
508.04	20.06	watch_moving_bars	n/a
528.1	2.69	instruction	n/a
530.8	18.19	fixation_cross	n/a
548.98	3.01	fixation_cross	n/a
551.99	20.03	watch_static_bars	n/a
572.02	1.63	instruction	n/a
573.65	18.96	fixation_cross	n/a
592.62	3.01	fixation_cross	n/a
595.62	20.06	control_moving_bars	n/a
615.69	3.15	instruction	n/a
618.84	17.52	fixation_cross	n/a
636.36	3.01	fixation_cross	n/a
639.37	20.04	watch_static_bars	n/a
659.4	1.81	instruction	n/a
