onset	duration	trial_type	rating
0.11	19.46	fixation_cross	n/a
19.57	3	instruction	n/a
22.58	20.05	control_moving_bars	n/a
42.62	3	rating	3
45.63	19.71	fixation_cross	n/a
65.34	3.01	instruction	n/a
68.35	20.07	watch_moving_bars	n/a
88.41	1.96	rating	3
90.38	17.4	fixation_cross	n/a
107.77	3.01	instruction	n/a
110.78	20.05	watch_static_bars	n/a
130.83	1.73	rating	4
132.56	19.75	fixation_cross	n/a
152.31	3.01	instruction	n/a
155.32	20.05	control_moving_bars	n/a
175.37	1.4	rating	3
176.77	18.9	fixation_cross	n/a
195.66	3.01	instruction	n/a
198.67	20.05	watch_moving_bars	n/a
218.72	1.54	rating	3
220.26	17.29	fixation_cross	n/a
237.55	3.01	fixation_cross	n/a
240.56	20.05	control_moving_bars	n/a
260.61	2.5	instruction	n/a
263.11	17.84	fixation_cross	n/a
280.95	3.01	fixation_cross	n/a
283.96	20.05	watch_static_bars	n/a
304	2.05	instruction	n/a
306.05	18.65	fixation_cross	n/a
324.7	3	fixation_cross	n/a
327.7	20.05	watch_moving_bars	n/a
347.75	1.95	instruction	n/a
349.7	19.88	fixation_cross	n/a
369.57	3.01	fixation_cross	n/a
372.58	20.06	watch_moving_bars	n/a
392.64	1.7	instruction	n/a
394.35	19.91	fixation_cross	n/a
414.25	3.01	fixation_cross	n/a
417.26	20.03	watch_static_bars	n/a
437.29	2.66	instruction	n/a
439.95	17.49	fixation_cross	n/a
457.44	3	fixation_cross	n/a
460.44	20.06	watch_moving_bars	n/a
480.5	1.85	instruction	n/a
482.35	19.91	fixation_cross	n/a
502.27	3.01	fixation_cross	n/a
505.28	20.06	control_moving_bars	n/a
525.34	1.21	instruction	n/a
526.55	19.86	fixation_cross	n/a
546.41	3.01	fixation_cross	n/a
549.42	20.04	watch_static_bars	n/a
569.46	3.5	instruction	n/a
572.96	18.46	fixation_cross	n/a
591.42	3.01	fixation_cross	n/a
594.43	20.05	watch_static_bars	n/a
614.48	2.44	instruction	n/a
616.92	19.41	fixation_cross	n/a
636.32	3	fixation_cross	n/a
639.33	20.06	control_moving_bars	n/a
659.39	1.33	instruction	n/a
