onset	duration	trial_type	rating
0.04	17.45	fixation_cross	n/a
17.49	3	instruction	n/a
20.5	20.06	watch_moving_bars	n/a
40.56	2.86	rating	2
43.41	18.28	fixation_cross	n/a
61.69	3	instruction	n/a
64.69	20.06	control_moving_bars	n/a
84.75	5.98	rating	2
90.74	19.74	fixation_cross	n/a
110.48	3.01	instruction	n/a
113.49	20.05	watch_static_bars	n/a
133.54	4.16	rating	3
137.69	19.39	fixation_cross	n/a
157.08	3.01	instruction	n/a
160.09	20.05	control_moving_bars	n/a
180.13	4.66	rating	3
184.79	19.88	fixation_cross	n/a
204.67	3.01	instruction	n/a
207.68	20.06	control_moving_bars	n/a
227.74	2.76	rating	2
230.51	18.96	fixation_cross	n/a
249.47	3.01	fixation_cross	n/a
252.49	20.11	watch_moving_bars	n/a
272.6	2.42	instruction	n/a
275.01	17.11	fixation_cross	n/a
292.13	3.01	fixation_cross	n/a
295.14	20.06	watch_moving_bars	n/a
315.2	2.28	instruction	n/a
317.48	19.56	fixation_cross	n/a
337.04	3.01	fixation_cross	n/a
340.05	20.03	watch_static_bars	n/a
360.08	5.24	instruction	n/a
365.32	19.81	fixation_cross	n/a
385.13	3.01	fixation_cross	n/a
388.14	20.07	watch_moving_bars	n/a
408.21	3.61	instruction	n/a
411.82	19.05	fixation_cross	n/a
430.87	3.01	fixation_cross	n/a
433.88	20.06	control_moving_bars	n/a
453.94	2.87	instruction	n/a
456.81	19.27	fixation_cross	n/a
476.08	3.01	fixation_cross	n/a
479.09	20.03	watch_static_bars	n/a
499.12	2.99	instruction	n/a
502.11	19.25	fixation_cross	n/a
521.36	3	fixation_cross	n/a
524.36	20.07	watch_moving_bars	n/a
544.43	2.46	instruction	n/a
546.89	18.19	fixation_cross	n/a
565.08	3.01	fixation_cross	n/a
568.09	20.04	watch_static_bars	n/a
588.13	1.71	instruction	n/a
589.83	18.97	fixation_cross	n/a
608.8	3	fixation_cross	n/a
611.8	20.06	control_moving_bars	n/a
631.86	2.97	instruction	n/a
634.83	17.52	fixation_cross	n/a
652.35	3.01	fixation_cross	n/a
655.36	20.05	watch_static_bars	n/a
675.4	2.77	instruction	n/a
