onset	duration	trial_type	rating
0.24	19.45	fixation_cross	n/a
19.7	3	instruction	n/a
22.7	20.06	control_moving_bars	n/a
42.76	2.58	rating	3
45.34	19.72	fixation_cross	n/a
65.06	3	instruction	n/a
68.06	20.06	watch_moving_bars	n/a
88.12	2.69	rating	2
90.82	17.39	fixation_cross	n/a
108.2	3.01	instruction	n/a
111.22	20.06	watch_moving_bars	n/a
131.28	2.13	rating	4
133.4	19.75	fixation_cross	n/a
153.15	3.01	instruction	n/a
156.16	20.05	control_moving_bars	n/a
176.21	4.43	rating	4
180.64	18.91	fixation_cross	n/a
199.55	3.01	instruction	n/a
202.56	20.04	watch_static_bars	n/a
222.59	3.39	rating	4
225.98	17.3	fixation_cross	n/a
243.28	3	fixation_cross	n/a
246.28	20.11	control_moving_bars	n/a
266.4	4.53	instruction	n/a
270.94	17.84	fixation_cross	n/a
288.78	3.01	fixation_cross	n/a
291.79	20.04	watch_static_bars	n/a
311.82	3.64	instruction	n/a
315.47	18.64	fixation_cross	n/a
334.11	3.01	fixation_cross	n/a
337.12	20.06	watch_moving_bars	n/a
357.18	2.59	instruction	n/a
359.77	19.88	fixation_cross	n/a
379.65	3.01	fixation_cross	n/a
382.66	20.07	watch_moving_bars	n/a
402.72	6.57	instruction	n/a
409.29	19.9	fixation_cross	n/a
429.19	3.01	fixation_cross	n/a
432.2	20.07	control_moving_bars	n/a
452.27	4.88	instruction	n/a
457.15	17.49	fixation_cross	n/a
474.64	3	fixation_cross	n/a
477.65	20.06	watch_moving_bars	n/a
497.71	3.78	instruction	n/a
501.49	19.91	fixation_cross	n/a
521.41	3.01	fixation_cross	n/a
524.42	20.02	watch_static_bars	n/a
544.43	2.15	instruction	n/a
546.59	19.87	fixation_cross	n/a
566.46	3.01	fixation_cross	n/a
569.47	20.04	watch_static_bars	n/a
589.5	3.4	instruction	n/a
592.9	18.47	fixation_cross	n/a
611.37	3.01	fixation_cross	n/a
614.38	20.05	control_moving_bars	n/a
634.43	4.31	instruction	n/a
638.74	19.4	fixation_cross	n/a
658.14	3.01	fixation_cross	n/a
661.15	20.03	watch_static_bars	n/a
681.18	2.98	instruction	n/a
