onset	duration	trial_type	rating
0.35	19.44	fixation_cross	n/a
19.79	3.01	instruction	n/a
22.8	20.04	watch_static_bars	n/a
42.84	3.23	rating	4
46.07	19.71	fixation_cross	n/a
65.78	3.01	instruction	n/a
68.79	20.05	control_moving_bars	n/a
88.84	1.9	rating	3
90.74	17.4	fixation_cross	n/a
108.14	3.01	instruction	n/a
111.14	20.06	watch_moving_bars	n/a
131.21	2.46	rating	2
133.66	19.75	fixation_cross	n/a
153.41	3	instruction	n/a
156.42	20.07	control_moving_bars	n/a
176.48	1.16	rating	3
177.64	18.91	fixation_cross	n/a
196.54	3.01	instruction	n/a
199.55	20.03	watch_static_bars	n/a
219.58	2.06	rating	3
221.65	17.3	fixation_cross	n/a
238.94	3.01	fixation_cross	n/a
241.95	20.06	control_moving_bars	n/a
262	1.85	instruction	n/a
263.85	17.84	fixation_cross	n/a
281.68	3.01	fixation_cross	n/a
284.7	20.05	watch_moving_bars	n/a
304.74	1.23	instruction	n/a
305.98	18.64	fixation_cross	n/a
324.62	3.01	fixation_cross	n/a
327.63	20.06	watch_moving_bars	n/a
347.69	1.44	instruction	n/a
349.13	19.87	fixation_cross	n/a
369	3.01	fixation_cross	n/a
372.01	20.05	watch_static_bars	n/a
392.06	2.08	instruction	n/a
394.14	19.9	fixation_cross	n/a
414.04	3.01	fixation_cross	n/a
417.05	20.04	watch_static_bars	n/a
437.08	1.57	instruction	n/a
438.66	17.48	fixation_cross	n/a
456.14	3.01	fixation_cross	n/a
459.15	20.05	control_moving_bars	n/a
479.2	1.37	instruction	n/a
480.57	19.92	fixation_cross	n/a
500.49	3.01	fixation_cross	n/a
503.5	20.06	watch_moving_bars	n/a
523.57	1.61	instruction	n/a
525.18	19.88	fixation_cross	n/a
545.06	3.02	fixation_cross	n/a
548.08	20.06	control_moving_bars	n/a
568.14	1.19	instruction	n/a
569.33	18.46	fixation_cross	n/a
587.79	3.01	fixation_cross	n/a
590.8	20.04	watch_static_bars	n/a
610.84	1.75	instruction	n/a
612.59	19.4	fixation_cross	n/a
631.99	3	fixation_cross	n/a
635	20.07	watch_moving_bars	n/a
655.06	1.14	instruction	n/a
