onset	duration	trial_type	rating
0.04	19.13	fixation_cross	n/a
19.16	3.01	instruction	n/a
22.18	20.06	control_moving_bars	n/a
42.24	3.04	rating	4
45.28	17.1	fixation_cross	n/a
62.38	3	instruction	n/a
65.39	20.06	watch_moving_bars	n/a
85.44	2.43	rating	2
87.88	17.82	fixation_cross	n/a
105.69	3.01	instruction	n/a
108.7	20.05	watch_moving_bars	n/a
128.76	2.96	rating	4
131.72	17.14	fixation_cross	n/a
148.86	3.01	instruction	n/a
151.87	20.06	control_moving_bars	n/a
171.93	2.38	rating	3
174.31	17.3	fixation_cross	n/a
191.61	3	instruction	n/a
194.62	20.03	watch_static_bars	n/a
214.65	3.58	rating	2
218.24	19.48	fixation_cross	n/a
237.72	3.01	fixation_cross	n/a
240.73	20.11	control_moving_bars	n/a
260.85	2.45	instruction	n/a
263.3	19.09	fixation_cross	n/a
282.38	3.01	fixation_cross	n/a
285.4	20.05	watch_static_bars	n/a
305.44	3.86	instruction	n/a
309.3	17.97	fixation_cross	n/a
327.26	3	fixation_cross	n/a
330.26	20.05	watch_moving_bars	n/a
350.31	0.97	instruction	n/a
351.28	19.86	fixation_cross	n/a
371.14	3	fixation_cross	n/a
374.14	20.06	watch_moving_bars	n/a
394.2	2.57	instruction	n/a
396.78	17.11	fixation_cross	n/a
413.89	3.01	fixation_cross	n/a
416.9	20.05	control_moving_bars	n/a
436.95	1.9	instruction	n/a
438.86	18.32	fixation_cross	n/a
457.18	3.01	fixation_cross	n/a
460.19	20.07	watch_moving_bars	n/a
480.26	2.36	instruction	n/a
482.61	18.16	fixation_cross	n/a
500.77	3.01	fixation_cross	n/a
503.79	20.05	watch_static_bars	n/a
523.83	3.18	instruction	n/a
527.01	19.3	fixation_cross	n/a
546.31	3.01	fixation_cross	n/a
549.32	20.04	watch_static_bars	n/a
569.35	1.71	instruction	n/a
571.06	19.38	fixation_cross	n/a
590.44	3.01	fixation_cross	n/a
593.45	20.06	control_moving_bars	n/a
613.51	1.88	instruction	n/a
615.4	17.57	fixation_cross	n/a
632.97	3.01	fixation_cross	n/a
635.98	20.05	watch_static_bars	n/a
656.03	1.79	instruction	n/a
