onset	duration	trial_type	rating
0.22	19.45	fixation_cross	n/a
19.67	3	instruction	n/a
22.68	20.06	control_moving_bars	n/a
42.74	3.37	rating	3
46.1	19.71	fixation_cross	n/a
65.81	3.01	instruction	n/a
68.82	20.07	watch_moving_bars	n/a
88.89	2.16	rating	3
91.05	17.4	fixation_cross	n/a
108.44	3.01	instruction	n/a
111.46	20.03	watch_static_bars	n/a
131.49	1.81	rating	4
133.29	19.75	fixation_cross	n/a
153.05	3	instruction	n/a
156.06	20.07	control_moving_bars	n/a
176.12	1.41	rating	4
177.54	18.91	fixation_cross	n/a
196.44	3.01	instruction	n/a
199.46	20.06	watch_moving_bars	n/a
219.51	2.18	rating	3
221.7	17.3	fixation_cross	n/a
239	3.01	fixation_cross	n/a
242.01	20.06	control_moving_bars	n/a
262.08	2.05	instruction	n/a
264.12	17.84	fixation_cross	n/a
281.96	3.01	fixation_cross	n/a
284.98	20.04	watch_static_bars	n/a
305.01	1.45	instruction	n/a
306.46	18.64	fixation_cross	n/a
325.1	3.01	fixation_cross	n/a
328.11	20.06	watch_moving_bars	n/a
348.17	2.02	instruction	n/a
350.19	19.87	fixation_cross	n/a
370.06	3.01	fixation_cross	n/a
373.07	20.06	watch_moving_bars	n/a
393.13	1.66	instruction	n/a
394.79	19.9	fixation_cross	n/a
414.69	3.01	fixation_cross	n/a
417.7	20.03	watch_static_bars	n/a
437.73	1.69	instruction	n/a
439.42	17.48	fixation_cross	n/a
456.91	3.01	fixation_cross	n/a
459.92	20.05	watch_moving_bars	n/a
479.96	1.44	instruction	n/a
481.4	19.92	fixation_cross	n/a
501.32	3.01	fixation_cross	n/a
504.33	20.06	control_moving_bars	n/a
524.39	1.24	instruction	n/a
525.64	19.86	fixation_cross	n/a
545.5	3.01	fixation_cross	n/a
548.51	20.05	watch_static_bars	n/a
568.56	1.71	instruction	n/a
570.27	18.47	fixation_cross	n/a
588.74	3.01	fixation_cross	n/a
591.75	20.03	watch_static_bars	n/a
611.78	1.34	instruction	n/a
613.12	19.41	fixation_cross	n/a
632.54	3.01	fixation_cross	n/a
635.54	20.06	control_moving_bars	n/a
655.61	2.52	instruction	n/a
