onset	duration	trial_type	rating
0.04	17.42	fixation_cross	n/a
17.46	3	instruction	n/a
20.46	20.06	control_moving_bars	n/a
40.52	3.4	rating	4
43.92	18.26	fixation_cross	n/a
62.18	3.01	instruction	n/a
65.19	20.06	watch_moving_bars	n/a
85.25	11.6	rating	3
96.85	19.74	fixation_cross	n/a
116.59	3.02	instruction	n/a
119.61	20.11	watch_moving_bars	n/a
139.72	3.1	rating	4
142.82	19.39	fixation_cross	n/a
162.21	3.01	instruction	n/a
165.22	20.06	control_moving_bars	n/a
185.28	6.64	rating	3
191.92	19.9	fixation_cross	n/a
211.82	3.01	instruction	n/a
214.83	20.03	watch_static_bars	n/a
234.86	3	rating	4
237.86	18.98	fixation_cross	n/a
256.84	3.01	fixation_cross	n/a
259.85	20.11	control_moving_bars	n/a
279.96	5	instruction	n/a
284.97	17.11	fixation_cross	n/a
302.08	3.01	fixation_cross	n/a
305.09	20.03	watch_static_bars	n/a
325.12	2.99	instruction	n/a
328.11	19.56	fixation_cross	n/a
347.66	3.01	fixation_cross	n/a
350.67	20.07	watch_moving_bars	n/a
370.74	2.59	instruction	n/a
373.33	19.81	fixation_cross	n/a
393.14	3.01	fixation_cross	n/a
396.15	20.05	watch_moving_bars	n/a
416.2	2.8	instruction	n/a
419	19.05	fixation_cross	n/a
438.05	3.01	fixation_cross	n/a
441.06	20.1	control_moving_bars	n/a
461.17	6.5	instruction	n/a
467.67	19.29	fixation_cross	n/a
486.96	3	fixation_cross	n/a
489.97	20.06	watch_moving_bars	n/a
510.03	2.57	instruction	n/a
512.6	19.23	fixation_cross	n/a
531.83	3	fixation_cross	n/a
534.83	20.03	watch_static_bars	n/a
554.86	4.16	instruction	n/a
559.03	18.19	fixation_cross	n/a
577.22	3.01	fixation_cross	n/a
580.23	20.03	watch_static_bars	n/a
600.26	2.17	instruction	n/a
602.43	18.96	fixation_cross	n/a
621.4	3.01	fixation_cross	n/a
624.41	20.05	control_moving_bars	n/a
644.46	4.45	instruction	n/a
648.91	17.51	fixation_cross	n/a
666.42	3.01	fixation_cross	n/a
669.43	20.05	watch_static_bars	n/a
689.48	2.43	instruction	n/a
