onset	duration	trial_type	rating
0.03	17.43	fixation_cross	n/a
17.46	3	instruction	n/a
20.47	20.05	control_moving_bars	n/a
40.52	1.99	rating	2
42.51	18.25	fixation_cross	n/a
60.76	3.01	instruction	n/a
63.77	20.07	watch_moving_bars	n/a
83.84	2.25	rating	3
86.09	19.75	fixation_cross	n/a
105.83	3.01	instruction	n/a
108.84	20.03	watch_static_bars	n/a
128.88	2.68	rating	4
131.56	19.39	fixation_cross	n/a
150.95	3.01	instruction	n/a
153.96	20.06	control_moving_bars	n/a
174.02	2.41	rating	4
176.44	19.89	fixation_cross	n/a
196.33	3.01	instruction	n/a
199.34	20.05	watch_moving_bars	n/a
219.39	2.05	rating	3
221.44	18.96	fixation_cross	n/a
240.4	3.01	fixation_cross	n/a
243.41	20.07	control_moving_bars	n/a
263.48	1.95	instruction	n/a
265.42	17.11	fixation_cross	n/a
282.54	3	fixation_cross	n/a
285.54	20.02	watch_static_bars	n/a
305.57	5.39	instruction	n/a
310.96	19.55	fixation_cross	n/a
330.51	3.01	fixation_cross	n/a
333.52	20.07	watch_moving_bars	n/a
353.58	1.83	instruction	n/a
355.41	19.8	fixation_cross	n/a
375.22	3.01	fixation_cross	n/a
378.23	20.07	watch_moving_bars	n/a
398.29	1.64	instruction	n/a
399.94	19.04	fixation_cross	n/a
418.98	3.01	fixation_cross	n/a
421.99	20.03	watch_static_bars	n/a
442.02	2.01	instruction	n/a
444.04	19.28	fixation_cross	n/a
463.32	3.01	fixation_cross	n/a
466.32	20.05	watch_moving_bars	n/a
486.37	2.93	instruction	n/a
489.3	19.24	fixation_cross	n/a
508.54	3	fixation_cross	n/a
511.55	20.06	control_moving_bars	n/a
531.61	4.88	instruction	n/a
536.49	18.19	fixation_cross	n/a
554.68	3.01	fixation_cross	n/a
557.69	20.05	watch_static_bars	n/a
577.74	2.48	instruction	n/a
580.21	18.96	fixation_cross	n/a
599.17	3.01	fixation_cross	n/a
602.18	20.02	watch_static_bars	n/a
622.2	2.46	instruction	n/a
624.66	17.52	fixation_cross	n/a
642.18	3.01	fixation_cross	n/a
645.19	20.05	control_moving_bars	n/a
665.24	1.04	instruction	n/a
