onset	duration	trial_type	rating
0.24	19.44	fixation_cross	n/a
19.68	3	instruction	n/a
22.69	20.02	watch_static_bars	n/a
42.7	6.92	rating	4
49.63	19.7	fixation_cross	n/a
69.33	3.01	instruction	n/a
72.34	20.05	control_moving_bars	n/a
92.39	5.2	rating	3
97.6	17.38	fixation_cross	n/a
114.98	3.02	instruction	n/a
118	20.1	watch_moving_bars	n/a
138.1	3.08	rating	2
141.18	19.75	fixation_cross	n/a
160.93	3.01	instruction	n/a
163.94	20.06	control_moving_bars	n/a
184	5.9	rating	2
189.9	18.91	fixation_cross	n/a
208.8	3.01	instruction	n/a
211.81	20.04	watch_static_bars	n/a
231.84	2.19	rating	4
234.04	17.3	fixation_cross	n/a
251.33	3	fixation_cross	n/a
254.34	20.07	control_moving_bars	n/a
274.4	2.23	instruction	n/a
276.62	17.84	fixation_cross	n/a
294.46	3.01	fixation_cross	n/a
297.47	20.06	watch_moving_bars	n/a
317.53	4.36	instruction	n/a
321.89	18.64	fixation_cross	n/a
340.53	3.01	fixation_cross	n/a
343.54	20.06	watch_moving_bars	n/a
363.6	5.07	instruction	n/a
368.66	19.88	fixation_cross	n/a
388.55	3.01	fixation_cross	n/a
391.56	20.03	watch_static_bars	n/a
411.59	2.58	instruction	n/a
414.18	19.91	fixation_cross	n/a
434.08	3.01	fixation_cross	n/a
437.09	20.04	watch_static_bars	n/a
457.13	4.52	instruction	n/a
461.64	17.48	fixation_cross	n/a
479.12	3.01	fixation_cross	n/a
482.13	20.06	control_moving_bars	n/a
502.19	3.78	instruction	n/a
505.97	19.92	fixation_cross	n/a
525.89	3.01	fixation_cross	n/a
528.9	20.05	watch_moving_bars	n/a
548.95	2.34	instruction	n/a
551.29	19.88	fixation_cross	n/a
571.16	3.01	fixation_cross	n/a
574.17	20.06	control_moving_bars	n/a
594.23	2.79	instruction	n/a
597.03	18.47	fixation_cross	n/a
615.5	3.01	fixation_cross	n/a
618.51	20.05	watch_static_bars	n/a
638.55	2.89	instruction	n/a
641.44	19.41	fixation_cross	n/a
660.85	3	fixation_cross	n/a
663.86	20.06	watch_moving_bars	n/a
683.92	2.73	instruction	n/a
