onset	duration	trial_type	rating
0.05	19.45	fixation_cross	n/a
19.5	3.02	instruction	n/a
22.52	20.05	watch_static_bars	n/a
42.58	3.52	rating	4
46.1	19.72	fixation_cross	n/a
65.82	3.01	instruction	n/a
68.83	20.06	control_moving_bars	n/a
88.89	2.62	rating	4
91.51	17.4	fixation_cross	n/a
108.9	3.01	instruction	n/a
111.92	20.07	watch_moving_bars	n/a
131.98	2.78	rating	3
134.76	19.75	fixation_cross	n/a
154.51	3.01	instruction	n/a
157.52	20.1	control_moving_bars	n/a
177.62	2.73	rating	3
180.35	18.91	fixation_cross	n/a
199.26	3.01	instruction	n/a
202.27	20.04	watch_static_bars	n/a
222.3	2.04	rating	4
224.34	17.3	fixation_cross	n/a
241.64	3	fixation_cross	n/a
244.64	20.07	control_moving_bars	n/a
264.7	1.8	instruction	n/a
266.5	17.84	fixation_cross	n/a
284.35	3.01	fixation_cross	n/a
287.36	20.06	watch_moving_bars	n/a
307.42	1.85	instruction	n/a
309.28	18.64	fixation_cross	n/a
327.92	3.01	fixation_cross	n/a
330.93	20.05	watch_moving_bars	n/a
350.97	1.64	instruction	n/a
352.61	19.88	fixation_cross	n/a
372.49	3.01	fixation_cross	n/a
375.5	20.05	watch_static_bars	n/a
395.55	1.69	instruction	n/a
397.24	19.91	fixation_cross	n/a
417.15	3.01	fixation_cross	n/a
420.16	20.03	watch_static_bars	n/a
440.19	1.68	instruction	n/a
441.87	17.49	fixation_cross	n/a
459.36	3.01	fixation_cross	n/a
462.37	20.05	control_moving_bars	n/a
482.42	1.05	instruction	n/a
483.47	19.92	fixation_cross	n/a
503.39	3.01	fixation_cross	n/a
506.4	20.11	watch_moving_bars	n/a
526.51	2.74	instruction	n/a
529.25	19.88	fixation_cross	n/a
549.13	3.01	fixation_cross	n/a
552.14	20.06	control_moving_bars	n/a
572.2	1.64	instruction	n/a
573.84	18.47	fixation_cross	n/a
592.31	3.01	fixation_cross	n/a
595.32	20.03	watch_static_bars	n/a
615.35	1.75	instruction	n/a
617.09	19.4	fixation_cross	n/a
636.49	3	fixation_cross	n/a
639.5	20.05	watch_moving_bars	n/a
659.54	1.09	instruction	n/a
