onset	duration	trial_type	rating
0.11	19.46	fixation_cross	n/a
19.57	3	instruction	n/a
22.58	20.05	control_moving_bars	n/a
42.62	6.37	rating	2
48.99	19.71	fixation_cross	n/a
68.7	3.01	instruction	n/a
71.72	20.06	watch_moving_bars	n/a
91.78	2.42	rating	3
94.2	17.39	fixation_cross	n/a
111.59	3.01	instruction	n/a
114.6	20.03	watch_static_bars	n/a
134.63	2.41	rating	3
137.04	19.75	fixation_cross	n/a
156.78	3.01	instruction	n/a
159.79	20.11	control_moving_bars	n/a
179.9	4.18	rating	2
184.09	18.9	fixation_cross	n/a
202.99	3.01	instruction	n/a
206	20.07	watch_moving_bars	n/a
226.06	3.33	rating	3
229.4	17.3	fixation_cross	n/a
246.69	3	fixation_cross	n/a
249.7	20.07	control_moving_bars	n/a
269.76	1.86	instruction	n/a
271.62	17.84	fixation_cross	n/a
289.46	3.01	fixation_cross	n/a
292.47	20.04	watch_static_bars	n/a
312.51	3.41	instruction	n/a
315.92	18.64	fixation_cross	n/a
334.56	3.01	fixation_cross	n/a
337.57	20.05	watch_moving_bars	n/a
357.62	2.66	instruction	n/a
360.28	19.86	fixation_cross	n/a
380.15	3.01	fixation_cross	n/a
383.16	20.06	watch_moving_bars	n/a
403.22	1.7	instruction	n/a
404.92	19.91	fixation_cross	n/a
424.83	3.01	fixation_cross	n/a
427.84	20.04	watch_static_bars	n/a
447.87	1.7	instruction	n/a
449.57	17.48	fixation_cross	n/a
467.06	3.01	fixation_cross	n/a
470.07	20.06	watch_moving_bars	n/a
490.13	3.44	instruction	n/a
493.57	19.91	fixation_cross	n/a
513.48	3.01	fixation_cross	n/a
516.49	20.06	control_moving_bars	n/a
536.55	6.73	instruction	n/a
543.29	19.88	fixation_cross	n/a
563.17	3.01	fixation_cross	n/a
566.18	20.03	watch_static_bars	n/a
586.21	3.61	instruction	n/a
589.81	18.47	fixation_cross	n/a
608.28	3.01	fixation_cross	n/a
611.29	20.05	watch_static_bars	n/a
631.34	2.41	instruction	n/a
633.76	19.41	fixation_cross	n/a
653.17	3.01	fixation_cross	n/a
656.18	20.1	control_moving_bars	n/a
676.28	2.98	instruction	n/a
