onset	duration	trial_type	rating
0.04	19.12	fixation_cross	n/a
19.16	3.01	instruction	n/a
22.18	20.1	control_moving_bars	n/a
42.28	10.91	rating	2
53.2	17.1	fixation_cross	n/a
70.3	3.01	instruction	n/a
73.31	20.06	watch_moving_bars	n/a
93.37	2.38	rating	3
95.75	17.83	fixation_cross	n/a
113.59	3	instruction	n/a
116.59	20.03	watch_static_bars	n/a
136.62	1.89	rating	4
138.52	17.14	fixation_cross	n/a
155.65	3.01	instruction	n/a
158.66	20.06	control_moving_bars	n/a
178.72	3.2	rating	3
181.93	17.3	fixation_cross	n/a
199.22	3.01	instruction	n/a
202.23	20.06	watch_moving_bars	n/a
222.29	1.81	rating	3
224.1	19.48	fixation_cross	n/a
243.59	3.01	fixation_cross	n/a
246.6	20.05	control_moving_bars	n/a
266.65	1.38	instruction	n/a
268.03	19.09	fixation_cross	n/a
287.13	3.01	fixation_cross	n/a
290.14	20.03	watch_static_bars	n/a
310.17	1.89	instruction	n/a
312.06	17.95	fixation_cross	n/a
330.01	3.01	fixation_cross	n/a
333.02	20.06	watch_moving_bars	n/a
353.08	2.94	instruction	n/a
356.03	19.85	fixation_cross	n/a
375.88	3.01	fixation_cross	n/a
378.89	20.06	watch_moving_bars	n/a
398.95	2.85	instruction	n/a
401.8	17.1	fixation_cross	n/a
418.9	3.01	fixation_cross	n/a
421.91	20.02	watch_static_bars	n/a
441.93	1.73	instruction	n/a
443.65	18.32	fixation_cross	n/a
461.97	3.01	fixation_cross	n/a
464.98	20.05	watch_moving_bars	n/a
485.03	1.85	instruction	n/a
486.88	18.16	fixation_cross	n/a
505.04	3.01	fixation_cross	n/a
508.06	20.06	control_moving_bars	n/a
528.12	2.98	instruction	n/a
531.09	19.28	fixation_cross	n/a
550.38	3.01	fixation_cross	n/a
553.39	20.03	watch_static_bars	n/a
573.42	3.23	instruction	n/a
576.65	19.39	fixation_cross	n/a
596.04	3.01	fixation_cross	n/a
599.05	20.04	watch_static_bars	n/a
619.09	1.35	instruction	n/a
620.44	17.56	fixation_cross	n/a
638	3.01	fixation_cross	n/a
641.01	20.05	control_moving_bars	n/a
661.06	3.15	instruction	n/a
