onset	duration	trial_type	rating
0.04	17.44	fixation_cross	n/a
17.48	3	instruction	n/a
20.48	20.06	control_moving_bars	n/a
40.54	5.19	rating	4
45.73	18.27	fixation_cross	n/a
64	3.01	instruction	n/a
67.02	20.05	watch_moving_bars	n/a
87.06	5.68	rating	3
92.75	19.74	fixation_cross	n/a
112.49	3.01	instruction	n/a
115.5	20.07	watch_moving_bars	n/a
135.56	2.84	rating	4
138.4	19.4	fixation_cross	n/a
157.79	3.01	instruction	n/a
160.8	20.06	control_moving_bars	n/a
180.86	2.83	rating	3
183.7	19.88	fixation_cross	n/a
203.58	3.01	instruction	n/a
206.59	20.03	watch_static_bars	n/a
226.62	5.1	rating	4
231.72	18.96	fixation_cross	n/a
250.69	3.01	fixation_cross	n/a
253.7	20.06	control_moving_bars	n/a
273.76	3.56	instruction	n/a
277.32	17.1	fixation_cross	n/a
294.42	3.01	fixation_cross	n/a
297.43	20.03	watch_static_bars	n/a
317.46	2	instruction	n/a
319.46	19.57	fixation_cross	n/a
339.02	3	fixation_cross	n/a
342.03	20.06	watch_moving_bars	n/a
362.09	2.36	instruction	n/a
364.45	19.81	fixation_cross	n/a
384.26	3.01	fixation_cross	n/a
387.27	20.06	watch_moving_bars	n/a
407.33	4.04	instruction	n/a
411.36	19.04	fixation_cross	n/a
430.4	3.01	fixation_cross	n/a
433.42	20.06	control_moving_bars	n/a
453.48	5.21	instruction	n/a
458.68	19.28	fixation_cross	n/a
477.97	3.01	fixation_cross	n/a
480.98	20.06	watch_moving_bars	n/a
501.04	2.76	instruction	n/a
503.8	19.24	fixation_cross	n/a
523.04	3.01	fixation_cross	n/a
526.05	20.03	watch_static_bars	n/a
546.08	3.57	instruction	n/a
549.65	18.19	fixation_cross	n/a
567.84	3.01	fixation_cross	n/a
570.85	20.03	watch_static_bars	n/a
590.88	1.65	instruction	n/a
592.54	18.97	fixation_cross	n/a
611.5	3.01	fixation_cross	n/a
614.52	20.07	control_moving_bars	n/a
634.58	2.4	instruction	n/a
636.98	17.52	fixation_cross	n/a
654.5	3.01	fixation_cross	n/a
657.51	20.04	watch_static_bars	n/a
677.54	2.55	instruction	n/a
