onset	duration	trial_type	rating
0.03	19.26	fixation_cross	n/a
19.3	3.02	instruction	n/a
22.31	20.06	watch_moving_bars	n/a
42.37	5.05	rating	3
47.42	17.75	fixation_cross	n/a
65.17	3.01	instruction	n/a
68.18	20.06	control_moving_bars	n/a
88.24	8.35	rating	2
96.59	18.52	fixation_cross	n/a
115.11	3.01	instruction	n/a
118.12	20.05	watch_static_bars	n/a
138.17	3.17	rating	2
141.34	19.1	fixation_cross	n/a
160.44	3.01	instruction	n/a
163.46	20.11	control_moving_bars	n/a
183.56	2.71	rating	3
186.28	19.68	fixation_cross	n/a
205.95	3.02	instruction	n/a
208.96	20.07	control_moving_bars	n/a
229.03	2.4	rating	3
231.44	19.88	fixation_cross	n/a
251.32	3.02	fixation_cross	n/a
254.33	20.06	watch_moving_bars	n/a
274.39	3.32	instruction	n/a
277.71	18.66	fixation_cross	n/a
296.37	3	fixation_cross	n/a
299.37	20.05	watch_moving_bars	n/a
319.41	1.81	instruction	n/a
321.22	17.42	fixation_cross	n/a
338.64	3	fixation_cross	n/a
341.64	20.02	watch_static_bars	n/a
361.66	2.37	instruction	n/a
364.02	17.45	fixation_cross	n/a
381.47	3.01	fixation_cross	n/a
384.48	20.06	watch_moving_bars	n/a
404.54	2.6	instruction	n/a
407.14	17.78	fixation_cross	n/a
424.92	3.01	fixation_cross	n/a
427.93	20.05	control_moving_bars	n/a
447.98	1.56	instruction	n/a
449.54	19.54	fixation_cross	n/a
469.07	3	fixation_cross	n/a
472.08	20.05	watch_static_bars	n/a
492.12	5.77	instruction	n/a
497.89	17.76	fixation_cross	n/a
515.65	3.01	fixation_cross	n/a
518.66	20.05	watch_moving_bars	n/a
538.71	3.42	instruction	n/a
542.13	19.44	fixation_cross	n/a
561.57	3.01	fixation_cross	n/a
564.58	20.04	watch_static_bars	n/a
584.62	2.65	instruction	n/a
587.28	17.73	fixation_cross	n/a
605	3.01	fixation_cross	n/a
608.02	20.07	control_moving_bars	n/a
628.08	1.62	instruction	n/a
629.7	19.8	fixation_cross	n/a
649.5	3.01	fixation_cross	n/a
652.51	20.04	watch_static_bars	n/a
672.55	6.01	instruction	n/a
