onset	duration	trial_type	rating
0.04	17.44	fixation_cross	n/a
17.48	3	instruction	n/a
20.48	20.05	control_moving_bars	n/a
40.52	6.26	rating	3
46.79	18.27	fixation_cross	n/a
65.06	3.01	instruction	n/a
68.08	20.06	watch_moving_bars	n/a
88.14	2.23	rating	3
90.38	19.75	fixation_cross	n/a
110.13	3	instruction	n/a
113.13	20.05	watch_static_bars	n/a
133.18	1.61	rating	2
134.78	19.39	fixation_cross	n/a
154.17	3.02	instruction	n/a
157.18	20.06	control_moving_bars	n/a
177.24	3.09	rating	4
180.34	19.89	fixation_cross	n/a
200.22	3.01	instruction	n/a
203.24	20.06	watch_moving_bars	n/a
223.29	2.21	rating	4
225.5	18.96	fixation_cross	n/a
244.46	3.01	fixation_cross	n/a
247.48	20.07	control_moving_bars	n/a
267.54	1.38	instruction	n/a
268.92	17.11	fixation_cross	n/a
286.03	3.01	fixation_cross	n/a
289.04	20.05	watch_static_bars	n/a
309.08	2	instruction	n/a
311.08	19.56	fixation_cross	n/a
330.64	3.01	fixation_cross	n/a
333.65	20.07	watch_moving_bars	n/a
353.71	1.71	instruction	n/a
355.42	19.8	fixation_cross	n/a
375.22	3.01	fixation_cross	n/a
378.24	20.05	watch_moving_bars	n/a
398.29	1.29	instruction	n/a
399.58	19.05	fixation_cross	n/a
418.62	3.01	fixation_cross	n/a
421.64	20.05	watch_static_bars	n/a
441.68	1.16	instruction	n/a
442.85	19.27	fixation_cross	n/a
462.12	3.01	fixation_cross	n/a
465.13	20.06	watch_moving_bars	n/a
485.19	1.49	instruction	n/a
486.68	19.23	fixation_cross	n/a
505.91	3.01	fixation_cross	n/a
508.92	20.06	control_moving_bars	n/a
528.98	2.8	instruction	n/a
531.78	18.18	fixation_cross	n/a
549.96	3.01	fixation_cross	n/a
552.98	20.05	watch_static_bars	n/a
573.03	1.62	instruction	n/a
574.65	18.96	fixation_cross	n/a
593.61	3.01	fixation_cross	n/a
596.62	20.03	watch_static_bars	n/a
616.65	1.48	instruction	n/a
618.13	17.51	fixation_cross	n/a
635.64	3.01	fixation_cross	n/a
638.65	20.06	control_moving_bars	n/a
658.71	1.39	instruction	n/a
