onset	duration	trial_type	rating
0.04	19.25	fixation_cross	n/a
19.3	3.01	instruction	n/a
22.3	20.02	watch_static_bars	n/a
42.33	1.98	rating	4
44.31	17.76	fixation_cross	n/a
62.07	3.01	instruction	n/a
65.08	20.05	control_moving_bars	n/a
85.13	4.78	rating	3
89.91	18.52	fixation_cross	n/a
108.44	3.01	instruction	n/a
111.45	20.05	watch_moving_bars	n/a
131.5	1.92	rating	3
133.42	19.11	fixation_cross	n/a
152.54	3.01	instruction	n/a
155.55	20.06	control_moving_bars	n/a
175.61	1.34	rating	3
176.95	19.68	fixation_cross	n/a
196.63	3	instruction	n/a
199.63	20.04	watch_static_bars	n/a
219.67	0.8	rating	4
220.46	19.89	fixation_cross	n/a
240.35	3.01	fixation_cross	n/a
243.36	20.06	control_moving_bars	n/a
263.42	1.31	instruction	n/a
264.73	18.66	fixation_cross	n/a
283.39	3	fixation_cross	n/a
286.39	20.06	watch_moving_bars	n/a
306.45	1.51	instruction	n/a
307.96	17.41	fixation_cross	n/a
325.37	3.01	fixation_cross	n/a
328.38	20.11	watch_moving_bars	n/a
348.49	1.76	instruction	n/a
350.26	17.45	fixation_cross	n/a
367.71	3.01	fixation_cross	n/a
370.72	20.04	watch_static_bars	n/a
390.76	0.72	instruction	n/a
391.48	17.77	fixation_cross	n/a
409.25	3.01	fixation_cross	n/a
412.26	20.03	watch_static_bars	n/a
432.29	0.69	instruction	n/a
432.99	19.52	fixation_cross	n/a
452.51	3.01	fixation_cross	n/a
455.52	20.05	control_moving_bars	n/a
475.57	1.79	instruction	n/a
477.37	17.76	fixation_cross	n/a
495.13	3.01	fixation_cross	n/a
498.14	20.06	watch_moving_bars	n/a
518.2	1.19	instruction	n/a
519.4	19.45	fixation_cross	n/a
538.84	3.01	fixation_cross	n/a
541.85	20.07	control_moving_bars	n/a
561.92	1.73	instruction	n/a
563.65	17.74	fixation_cross	n/a
581.39	3.01	fixation_cross	n/a
584.4	20.04	watch_static_bars	n/a
604.43	0.59	instruction	n/a
605.03	19.79	fixation_cross	n/a
624.82	3.01	fixation_cross	n/a
627.83	20.06	watch_moving_bars	n/a
647.89	1.37	instruction	n/a
