onset	duration	trial_type	rating
0.06	19.45	fixation_cross	n/a
19.52	3	instruction	n/a
22.52	20.07	control_moving_bars	n/a
42.58	3.14	rating	3
45.74	19.72	fixation_cross	n/a
65.46	3.01	instruction	n/a
68.47	20.06	watch_moving_bars	n/a
88.53	1.87	rating	4
90.39	17.4	fixation_cross	n/a
107.79	3.01	instruction	n/a
110.8	20.03	watch_static_bars	n/a
130.83	2.09	rating	4
132.93	19.75	fixation_cross	n/a
152.68	3.01	instruction	n/a
155.68	20.05	control_moving_bars	n/a
175.73	1.52	rating	4
177.25	18.9	fixation_cross	n/a
196.15	3.01	instruction	n/a
199.16	20.07	watch_moving_bars	n/a
219.22	1.97	rating	4
221.2	17.3	fixation_cross	n/a
238.49	3.01	fixation_cross	n/a
241.5	20.06	control_moving_bars	n/a
261.56	1.27	instruction	n/a
262.83	17.84	fixation_cross	n/a
280.67	3.01	fixation_cross	n/a
283.68	20.04	watch_static_bars	n/a
303.71	2.02	instruction	n/a
305.74	18.63	fixation_cross	n/a
324.37	3.01	fixation_cross	n/a
327.38	20.06	watch_moving_bars	n/a
347.44	1.65	instruction	n/a
349.09	19.86	fixation_cross	n/a
368.95	3.01	fixation_cross	n/a
371.97	20.1	watch_moving_bars	n/a
392.07	1.9	instruction	n/a
393.98	19.9	fixation_cross	n/a
413.88	3.01	fixation_cross	n/a
416.89	20.03	watch_static_bars	n/a
436.92	1.38	instruction	n/a
438.31	17.46	fixation_cross	n/a
455.77	3.01	fixation_cross	n/a
458.78	20.05	watch_moving_bars	n/a
478.83	1.6	instruction	n/a
480.43	19.91	fixation_cross	n/a
500.34	3.01	fixation_cross	n/a
503.35	20.06	control_moving_bars	n/a
523.41	1.36	instruction	n/a
524.77	19.87	fixation_cross	n/a
544.64	3.01	fixation_cross	n/a
547.65	20.03	watch_static_bars	n/a
567.68	1.48	instruction	n/a
569.16	18.46	fixation_cross	n/a
587.62	3.01	fixation_cross	n/a
590.63	20.03	watch_static_bars	n/a
610.66	2.17	instruction	n/a
612.83	19.4	fixation_cross	n/a
632.23	3	fixation_cross	n/a
635.23	20.06	control_moving_bars	n/a
655.29	1.32	instruction	n/a
