onset	duration	trial_type	rating
0.3	19.45	fixation_cross	n/a
19.75	3	instruction	n/a
22.75	20.07	watch_moving_bars	n/a
42.81	5.76	rating	4
48.58	19.72	fixation_cross	n/a
68.29	3.01	instruction	n/a
71.3	20.06	control_moving_bars	n/a
91.36	4.93	rating	3
96.29	17.4	fixation_cross	n/a
113.68	3.01	instruction	n/a
116.69	20.02	watch_static_bars	n/a
136.71	3.95	rating	3
140.66	19.75	fixation_cross	n/a
160.41	3.01	instruction	n/a
163.42	20.06	control_moving_bars	n/a
183.48	3.92	rating	3
187.4	18.91	fixation_cross	n/a
206.3	3.01	instruction	n/a
209.32	20.06	control_moving_bars	n/a
229.38	7.51	rating	3
236.9	17.3	fixation_cross	n/a
254.2	3	fixation_cross	n/a
257.2	20.05	watch_moving_bars	n/a
277.25	5.19	instruction	n/a
282.44	17.85	fixation_cross	n/a
300.3	3.01	fixation_cross	n/a
303.3	20.06	watch_moving_bars	n/a
323.36	3.91	instruction	n/a
327.28	18.66	fixation_cross	n/a
345.94	3	fixation_cross	n/a
348.94	20.05	watch_static_bars	n/a
368.98	2.69	instruction	n/a
371.67	19.88	fixation_cross	n/a
391.55	3	fixation_cross	n/a
394.55	20.06	watch_moving_bars	n/a
414.61	3.2	instruction	n/a
417.82	19.9	fixation_cross	n/a
437.71	3.01	fixation_cross	n/a
440.72	20.05	control_moving_bars	n/a
460.77	6.38	instruction	n/a
467.15	17.49	fixation_cross	n/a
484.64	3.01	fixation_cross	n/a
487.65	20.05	watch_static_bars	n/a
507.7	9.67	instruction	n/a
517.38	19.92	fixation_cross	n/a
537.29	3.01	fixation_cross	n/a
540.3	20.05	watch_moving_bars	n/a
560.35	3.39	instruction	n/a
563.74	19.86	fixation_cross	n/a
583.61	3.01	fixation_cross	n/a
586.62	20.04	watch_static_bars	n/a
606.65	4.73	instruction	n/a
611.38	18.47	fixation_cross	n/a
629.85	3.01	fixation_cross	n/a
632.86	20.05	control_moving_bars	n/a
652.9	3.76	instruction	n/a
656.66	19.4	fixation_cross	n/a
676.06	3.01	fixation_cross	n/a
679.07	20.03	watch_static_bars	n/a
699.1	8.87	instruction	n/a
