onset	duration	trial_type	rating
0.05	19.45	fixation_cross	n/a
19.5	3	instruction	n/a
22.5	20.07	watch_moving_bars	n/a
42.57	3.92	rating	1
46.49	19.71	fixation_cross	n/a
66.2	3.02	instruction	n/a
69.22	20.11	control_moving_bars	n/a
89.33	4.67	rating	2
94	17.4	fixation_cross	n/a
111.39	3.01	instruction	n/a
114.4	20.03	watch_static_bars	n/a
134.44	5.04	rating	5
139.47	19.75	fixation_cross	n/a
159.22	3.01	instruction	n/a
162.24	20.05	control_moving_bars	n/a
182.28	5.32	rating	4
187.6	18.91	fixation_cross	n/a
206.51	3.01	instruction	n/a
209.52	20.05	control_moving_bars	n/a
229.56	3.75	rating	5
233.32	17.3	fixation_cross	n/a
250.62	3	fixation_cross	n/a
253.62	20.07	watch_moving_bars	n/a
273.69	2.94	instruction	n/a
276.63	17.85	fixation_cross	n/a
294.48	3.01	fixation_cross	n/a
297.5	20.06	watch_moving_bars	n/a
317.56	3.95	instruction	n/a
321.51	18.63	fixation_cross	n/a
340.14	3.01	fixation_cross	n/a
343.15	20.05	watch_static_bars	n/a
363.2	2.68	instruction	n/a
365.88	19.88	fixation_cross	n/a
385.76	3.01	fixation_cross	n/a
388.77	20.06	watch_moving_bars	n/a
408.83	2.11	instruction	n/a
410.95	19.9	fixation_cross	n/a
430.84	3.01	fixation_cross	n/a
433.85	20.11	control_moving_bars	n/a
453.96	1.62	instruction	n/a
455.58	17.5	fixation_cross	n/a
473.08	3	fixation_cross	n/a
476.08	20.05	watch_static_bars	n/a
496.13	2.85	instruction	n/a
498.98	19.92	fixation_cross	n/a
518.9	3.01	fixation_cross	n/a
521.91	20.05	watch_moving_bars	n/a
541.96	1.98	instruction	n/a
543.95	19.88	fixation_cross	n/a
563.83	3	fixation_cross	n/a
566.83	20.05	watch_static_bars	n/a
586.87	2.41	instruction	n/a
589.29	18.46	fixation_cross	n/a
607.75	3.01	fixation_cross	n/a
610.76	20.06	control_moving_bars	n/a
630.82	2.37	instruction	n/a
633.18	19.4	fixation_cross	n/a
652.58	3.01	fixation_cross	n/a
655.59	20.05	watch_static_bars	n/a
675.64	2.76	instruction	n/a
